sku,brand,name,size,net_weight,weight_unit,net_volume,volume_unit,gross_weight,gross_weight_unit,parent_category,child_category,description,ingredients,allergen_advice,storage_instructions,energy_kj,enery_kcal,protein,carbohydrates,of_which_sugars,fat,of_which_saturates,fibre,sodium,vitamin_A,VATable,country_of_origin,address,EAN
374744,Son Hou LDA,Wife Cakes ,,,,300,g,343,g,"Soup, snacks nuts","Snacks, Sweet",,"Wheat Flour, Sugar, Melon Mash, Edible Vegetable Oil, Glucose Syrup, Sesame, Coconut mash,  Salt, Flavour Enhancer (Coconut), Additive (Potassium Sorbate)",,Keep in a cool dry place,,220,,49g,,0.5g,,,5mg,,3,China,"New World Imports (UK) Ltd, Unit 5 Union Street, Swinton, Manchester M27 4HL",9581996101410
032037,TRS,Tandoori Masala Barbecue Spice Blend,,,,1000,g,1023,g,Ingredients and Seasonings,Spices and Spice Mixes,Barbecue Spice Blend,"Salt, Coriander, Mustard, Beetroot Extract, Fenugreek, Black Pepper, Onion Powder, Cinnamon, Garlic Powder, Cumin, Nutmeg, Ginger, Cardamom, Clove, Paprika, Chilli Powder, Celery, Spice Extracts, Bay, Natural Colours: (Paprika Extract,Turmeric Extract,Red Iron Oxide), Lemon Oil, Citric Acid,Anticaking Agent: (Silica).",Contains Mustard and Celery.,"To retain freshness and flavour store in an airtight container, in a cool dry place.",,,,,,,,,,,3,UK,,5017689685362
031948,TRS,Chilli Powder Extra Hot,,,,1000,g,1041,g,Ingredients and Seasonings,Spices and Spice Mixes,Ground from the finest and most pungent Red Chillis.,,,"To retain freshness and flavour store in an airtight container, in a cool dry place.",,,,,,,,,,,3,UK,,5017689005542
347138,TRS,Green Cardamom,,,,750,g,763,g,Ingredients and Seasonings,Spices and Spice Mixes,,,,Once opened we recommend the transfer of the product to an airtight container.  This will retain the freshness and flavour.  Store in a cool dry place.,,,,,,,,,,,3,Guatemala,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689092184
066613,TRS ,Fine Desiccated Coconut,,,,1000,g,1023,g,Ingredients and Seasonings,Coconut,"TRS Fine desiccated coconut is sourced from selected coconut processing factories ensuring its distinct colour, taste and purity.",,,Once opened we recommend the transfer of the product to an airtight container.  This will retain the freshness and flavour.  Store in a cool dry place.,2492,604,5.66g,6.4g,6.4g,62g,53.4g,13.7,28mg,,3,Indonesia,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689018689
098681,TRS,Cloves,,,,800,g,805,g,Ingredients and Seasonings,Spices and Spice Mixes,"TRS Cloves are grown and nurtured to give the finest flavour. Mainly used to flavour Pilau Rice, and an important ingredient in the mixture of Garam Masal.",,,"To retain freshness and flavour store in an airtight container, in a cool dry place.",,,,,,,,,,,3,Madagascar,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689037246
165019,Lotus,Flavour enhancer Monosodium Glutamate,,,,500,g,526,g,Ingredients and Seasonings,,"Use Monosodium Glutamate discreetly.  A pinch is sufficient to enhance the natural flavour of any food that requires ""pepping up"".  You will be surprised to find that a sprinkle of Lotus Monosodium Glutamate added at the very end of cooking intensifies the flavours of even the blandest dishes.",Monosodium Glutamate E621,"Packed in a factory which also handles wheat, celery, mustard and sulphur dioxide",Store in a cool dry place. We recommend that this product be put into an airtight container as soon as it is opened.,,,,,,,,,,,,UK,"Westmill Foods, 26 Crown Road, Enfield, Middlesex, EN1 1DZ",5015821145545
010793,Rajah,Paprika Powder,,,,400,g,416,g,Ingredients and Seasonings,Spices and Spice Mixes,Raja Paprika is ground from specially selected capsicums which adds a unique dimension to the taste of the dish whilst imparting a wonderfully rich colour.,Paprika Powder,,Store in a cool dry place.  On opening store in an airtight container.,,,,,,,,,,,3,UK,"Westmill Foods, 26 Crown Road, Enfield, Middlesex, EN1 1DZ",5015821146603
353169,Natco,Haldi Turmeric Powder,,,,400,g,409,g,Ingredients and Seasonings,Spices and Spice Mixes,"Turmeric is a tropical spice of the ginger family.  Colourful and versatile, it is widely used in Asian cuisine.",,Packed in a factory that handles nuts in a separate area.,Once opened store in an airtight container in a cool dry place.,,,,,,,,,,,3,,,5013531420198
049932,TRS,Large Cardamom,,,,750,g,746,g,Ingredients and Seasonings,Spices and Spice Mixes,,,,Once opened store in an airtight container in a cool dry place.,,,,,,,,,,,,India,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689258139
032045,TRS,Coconut Powder,,,,1000,g,1012,g,Ingredients and Seasonings,Coconut,"TRS Coconut powder is sourced from selected coconut processing factories ensuring it's distinctive colour, taste and purity.  Fine desiccated coconut is used extensively in South India, Thai and Sri Lankan cooking and is important in many Indian sweets and cakes.",,,Once opened we recommend the transfer of the product to an airtight container.  This will retain the freshness and flavour.  Store in a cool dry place.,2492,604,5.6g,6.4g,6.4g,62g,53.4g,13.7g,28mg,,3,UK,,5017689018856
238899,TRS,Black Sesame seeds,,,,300,g,303,g,"Soup, snacks nuts",Nuts and seeds,,,May contain traces of other seeds.,Once opened we recommend the transfer of the product to an airtight container.  This will retain the freshness and flavour.  Store in a cool dry place.,,,,,,,,,,,3,,,5017689066611
008409,Pride,Creamed Coconut,,,,198,g,207,g,Ingredients and Seasonings,Coconut,,100% coconut,Packed in a factory that handles peanut oil.,Store in a cool dry place.,,,,,,,,,,,,,,5018922110214
302802,Buenas,Sweet Tamarind,,,,170,g,185,g,"Soup, snacks nuts","Snacks, Sweet",Ready to eat Sweet Tamarind,"Ripe Tamaring (80%), Sugar (20%), ",,,1310,314,3.0g,92g,35g,0,0,3.0g,0.07g,,3,Philippines,"Manning Impex Ltd, 2 Doman Road, Camberley, Surrey GU15 3DF",4806514650788
346072,Natco,Almonds,,,,750,g,763,g,"Soup, snacks nuts",Nuts and seeds,,,"Contains nuts.  Packed on a machine that also packs other nuts.  Remember, small children can choke on nuts.",Once opened store   Use within 6 months.,2403,579,25.8g,20.7g,3.9g,43.7g,8.5g,8.3g,0.05g,,,Product of more than one country,"Natco Foods Ltd, Buckingham MK18 1T",501353110994
